🤖 AI Tools & Assistants,CATEGORY,SUBCATEGORY
Simplenote - Minimalist notes,📝 Note-Taking & Knowledge Management,Traditional Note Apps
Standard Notes - Privacy-focused notes,📝 Note-Taking & Knowledge Management,Traditional Note Apps
Joplin - Open-source notes,📝 Note-Taking & Knowledge Management,Traditional Note Apps
QOwnNotes - Plain text note-taking,📝 Note-Taking & Knowledge Management,Traditional Note Apps
Trilium - Hierarchical note-taking,📝 Note-Taking & Knowledge Management,Traditional Note Apps
TiddlyWiki - Non-linear documentation,📝 Note-Taking & Knowledge Management,Traditional Note Apps
,,
Knowledge Management,,
Confluence - Team knowledge base,📝 Note-Taking & Knowledge Management,Knowledge Management
GitBook - Documentation platform,📝 Note-Taking & Knowledge Management,Knowledge Management
Bookstack - Self-hosted wiki,📝 Note-Taking & Knowledge Management,Knowledge Management
DokuWiki - File-based wiki,📝 Note-Taking & Knowledge Management,Knowledge Management
MediaWiki - Wikipedia's software,📝 Note-Taking & Knowledge Management,Knowledge Management
Outline - Team knowledge base,📝 Note-Taking & Knowledge Management,Knowledge Management
Slab - Modern team wiki,📝 Note-Taking & Knowledge Management,Knowledge Management
Guru - Real-time knowledge,📝 Note-Taking & Knowledge Management,Knowledge Management
Helpjuice - Knowledge base software,📝 Note-Taking & Knowledge Management,Knowledge Management
Document360 - Customer knowledge base,📝 Note-Taking & Knowledge Management,Knowledge Management
,,
🔄 Automation & Workflows,,
Workflow Automation,,
Zapier - Connect apps without code,🔄 Automation & Workflows,Workflow Automation
IFTTT - If This Then That,🔄 Automation & Workflows,Workflow Automation
Microsoft Power Automate - Microsoft's automation,🔄 Automation & Workflows,Workflow Automation
Integromat (Make) - Visual automation,🔄 Automation & Workflows,Workflow Automation
n8n - Open-source automation,🔄 Automation & Workflows,Workflow Automation
Automate.io - Simple app integration,🔄 Automation & Workflows,Workflow Automation
Pabbly Connect - Affordable automation,🔄 Automation & Workflows,Workflow Automation
Integrately - One-click integrations,🔄 Automation & Workflows,Workflow Automation
Workato - Enterprise automation,🔄 Automation & Workflows,Workflow Automation
Tray.io - iPaaS platform,🔄 Automation & Workflows,Workflow Automation
,,
Business Process Automation,,
Monday.com - Work operating system,🔄 Automation & Workflows,Business Process Automation
Airtable - Database automation,🔄 Automation & Workflows,Business Process Automation
Notion - Workspace automation,🔄 Automation & Workflows,Business Process Automation
ClickUp - Task automation,🔄 Automation & Workflows,Business Process Automation
Asana - Project automation,🔄 Automation & Workflows,Business Process Automation
Process Street - Workflow checklists,🔄 Automation & Workflows,Business Process Automation
Nintex - Process automation platform,🔄 Automation & Workflows,Business Process Automation
K2 - Business process automation,🔄 Automation & Workflows,Business Process Automation
Appian - Low-code automation,🔄 Automation & Workflows,Business Process Automation
OutSystems - Application development,🔄 Automation & Workflows,Business Process Automation
,,
Data Integration,,
Fivetran - Automated data integration,🔄 Automation & Workflows,Data Integration
Stitch - ETL for startups,🔄 Automation & Workflows,Data Integration
Segment - Customer data platform,🔄 Automation & Workflows,Data Integration
Snowflake - Cloud data platform,🔄 Automation & Workflows,Data Integration
Databricks - Analytics platform,🔄 Automation & Workflows,Data Integration
Apache Airflow - Workflow orchestration,🔄 Automation & Workflows,Data Integration
Luigi - Python workflow management,🔄 Automation & Workflows,Data Integration
Prefect - Modern workflow orchestration,🔄 Automation & Workflows,Data Integration
Dagster - Data orchestration,🔄 Automation & Workflows,Data Integration
Apache NiFi - Data flow automation,🔄 Automation & Workflows,Data Integration
,,
☁️ Cloud Storage & File Management,,
Personal Cloud Storage,,
Google Drive - 15GB free storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
Dropbox - File sync pioneer,☁️ Cloud Storage & File Management,Personal Cloud Storage
OneDrive - Microsoft's cloud storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
iCloud - Apple's ecosystem storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
Box - Business-focused storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
pCloud - Lifetime storage plans,☁️ Cloud Storage & File Management,Personal Cloud Storage
MEGA - Secure cloud storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
SpiderOak - Zero-knowledge storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
Tresorit - Encrypted cloud storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
Sync.com - Privacy-focused storage,☁️ Cloud Storage & File Management,Personal Cloud Storage
,,
Business File Management,,
SharePoint - Microsoft collaboration,☁️ Cloud Storage & File Management,Business File Management
Google Workspace - Business file sharing,☁️ Cloud Storage & File Management,Business File Management
Box - Enterprise content management,☁️ Cloud Storage & File Management,Business File Management
Citrix ShareFile - Secure file sharing,☁️ Cloud Storage & File Management,Business File Management
Egnyte - Hybrid cloud storage,☁️ Cloud Storage & File Management,Business File Management
Nextcloud - Self-hosted cloud,☁️ Cloud Storage & File Management,Business File Management
ownCloud - Private cloud solution,☁️ Cloud Storage & File Management,Business File Management
Seafile - Open-source sync,☁️ Cloud Storage & File Management,Business File Management
Synology - NAS solutions,☁️ Cloud Storage & File Management,Business File Management
QNAP - Network attached storage,☁️ Cloud Storage & File Management,Business File Management
,,
File Transfer,,
WeTransfer - Simple large file sharing,☁️ Cloud Storage & File Management,File Transfer
SendAnywhere - Cross-platform transfer,☁️ Cloud Storage & File Management,File Transfer
Firefox Send - Encrypted file sharing,☁️ Cloud Storage & File Management,File Transfer
Filemail - Large file email,☁️ Cloud Storage & File Management,File Transfer
Hightail - Creative collaboration,☁️ Cloud Storage & File Management,File Transfer
Masv - Large file transfer,☁️ Cloud Storage & File Management,File Transfer
Aspera - High-speed transfer,☁️ Cloud Storage & File Management,File Transfer
Signiant - Media file transfer,☁️ Cloud Storage & File Management,File Transfer
FileCatalyst - Accelerated transfer,☁️ Cloud Storage & File Management,File Transfer
Resilio Sync - P2P file sync,☁️ Cloud Storage & File Management,File Transfer
,,
🔒 Security & Privacy Tools,,
Password Management,,
1Password - Family and business passwords,🔒 Security & Privacy Tools,Password Management
Bitwarden - Open-source password manager,🔒 Security & Privacy Tools,Password Management
LastPass - Popular password manager,🔒 Security & Privacy Tools,Password Management
Dashlane - Password manager with VPN,🔒 Security & Privacy Tools,Password Management
KeePass - Offline password database,🔒 Security & Privacy Tools,Password Management
Enpass - Offline password manager,🔒 Security & Privacy Tools,Password Management
RoboForm - Form-filling password manager,🔒 Security & Privacy Tools,Password Management
Sticky Password - Biometric authentication,🔒 Security & Privacy Tools,Password Management
True Key - Intel's password manager,🔒 Security & Privacy Tools,Password Management
Zoho Vault - Business password manager,🔒 Security & Privacy Tools,Password Management
,,
VPN Services,,
NordVPN - Popular consumer VPN,🔒 Security & Privacy Tools,VPN Services
ExpressVPN - Fast VPN service,🔒 Security & Privacy Tools,VPN Services
Surfshark - Unlimited device VPN,🔒 Security & Privacy Tools,VPN Services
CyberGhost - User-friendly VPN,🔒 Security & Privacy Tools,VPN Services
ProtonVPN - Privacy-focused VPN,🔒 Security & Privacy Tools,VPN Services
Mullvad - Anonymous VPN service,🔒 Security & Privacy Tools,VPN Services
Private Internet Access - No-logs VPN,🔒 Security & Privacy Tools,VPN Services
Windscribe - Free tier VPN,🔒 Security & Privacy Tools,VPN Services
TunnelBear - Simple VPN interface,🔒 Security & Privacy Tools,VPN Services
IPVanish - VPN for streaming,🔒 Security & Privacy Tools,VPN Services
,,
Security Tools,,
Malwarebytes - Anti-malware protection,🔒 Security & Privacy Tools,Security Tools
Norton - Comprehensive security suite,🔒 Security & Privacy Tools,Security Tools
McAfee - Consumer security software,🔒 Security & Privacy Tools,Security Tools
Bitdefender - Advanced threat protection,🔒 Security & Privacy Tools,Security Tools
Kaspersky - Russian security software,🔒 Security & Privacy Tools,Security Tools
Avast - Free antivirus option,🔒 Security & Privacy Tools,Security Tools
AVG - Consumer antivirus,🔒 Security & Privacy Tools,Security Tools
ESET - European security company,🔒 Security & Privacy Tools,Security Tools
Trend Micro - Business security,🔒 Security & Privacy Tools,Security Tools
Sophos - Enterprise security,🔒 Security & Privacy Tools,Security Tools
,,
📊 Analytics & Data Tools,,
Web Analytics,,
Google Analytics - Free web analytics,📊 Analytics & Data Tools,Web Analytics
Adobe Analytics - Enterprise web analytics,📊 Analytics & Data Tools,Web Analytics
Mixpanel - Event tracking analytics,📊 Analytics & Data Tools,Web Analytics
Amplitude - Product analytics,📊 Analytics & Data Tools,Web Analytics
Hotjar - User behavior analytics,📊 Analytics & Data Tools,Web Analytics
Crazy Egg - Heatmap analytics,📊 Analytics & Data Tools,Web Analytics
FullStory - Session recording,📊 Analytics & Data Tools,Web Analytics
LogRocket - Frontend monitoring,📊 Analytics & Data Tools,Web Analytics
Mouseflow - User session recording,📊 Analytics & Data Tools,Web Analytics
Lucky Orange - Real-time analytics,📊 Analytics & Data Tools,Web Analytics
,,
Business Intelligence,,
Tableau - Data visualization leader,📊 Analytics & Data Tools,Business Intelligence
Power BI - Microsoft's BI platform,📊 Analytics & Data Tools,Business Intelligence
Looker - Modern BI platform,📊 Analytics & Data Tools,Business Intelligence
QlikView - Self-service BI,📊 Analytics & Data Tools,Business Intelligence
Sisense - AI-driven analytics,📊 Analytics & Data Tools,Business Intelligence
Domo - Cloud-based BI,📊 Analytics & Data Tools,Business Intelligence
Chartio - Data exploration,📊 Analytics & Data Tools,Business Intelligence
Metabase - Open-source BI,📊 Analytics & Data Tools,Business Intelligence
Grafana - Monitoring and observability,📊 Analytics & Data Tools,Business Intelligence
Kibana - Elasticsearch visualization,📊 Analytics & Data Tools,Business Intelligence
,,
Data Management,,
Snowflake - Cloud data platform,📊 Analytics & Data Tools,Data Management
BigQuery - Google's data warehouse,📊 Analytics & Data Tools,Data Management
Redshift - Amazon's data warehouse,📊 Analytics & Data Tools,Data Management
Databricks - Unified analytics platform,📊 Analytics & Data Tools,Data Management
Apache Spark - Big data processing,📊 Analytics & Data Tools,Data Management
Hadoop - Distributed storage,📊 Analytics & Data Tools,Data Management
MongoDB - NoSQL database,📊 Analytics & Data Tools,Data Management
PostgreSQL - Open-source database,📊 Analytics & Data Tools,Data Management
MySQL - Popular database,📊 Analytics & Data Tools,Data Management
Redis - In-memory database,📊 Analytics & Data Tools,Data Management
,,
🎓 Learning & Development,,
Online Learning Platforms,,
Coursera - University courses online,🎓 Learning & Development,Online Learning Platforms
Udemy - Marketplace for courses,🎓 Learning & Development,Online Learning Platforms
LinkedIn Learning - Professional development,🎓 Learning & Development,Online Learning Platforms
Skillshare - Creative skills platform,🎓 Learning & Development,Online Learning Platforms
MasterClass - Celebrity-taught classes,🎓 Learning & Development,Online Learning Platforms
Pluralsight - Technology training,🎓 Learning & Development,Online Learning Platforms
Udacity - Tech career programs,🎓 Learning & Development,Online Learning Platforms
edX - University partnerships,🎓 Learning & Development,Online Learning Platforms
Khan Academy - Free education,🎓 Learning & Development,Online Learning Platforms
Codecademy - Interactive coding,🎓 Learning & Development,Online Learning Platforms
,,
Language Learning,,
Duolingo - Gamified language learning,🎓 Learning & Development,Language Learning
Babbel - Conversation-focused learning,🎓 Learning & Development,Language Learning
Rosetta Stone - Immersion method,🎓 Learning & Development,Language Learning
Busuu - Social language learning,🎓 Learning & Development,Language Learning
Memrise - Memory-based learning,🎓 Learning & Development,Language Learning
HelloTalk - Language exchange,🎓 Learning & Development,Language Learning
italki - 1-on-1 language tutoring,🎓 Learning & Development,Language Learning
Lingoda - Online language school,🎓 Learning & Development,Language Learning
FluentU - Real-world video content,🎓 Learning & Development,Language Learning
Anki - Spaced repetition flashcards,🎓 Learning & Development,Language Learning
,,
Skill Development,,
Brilliant - Math and science concepts,🎓 Learning & Development,Skill Development
DataCamp - Data science skills,🎓 Learning & Development,Skill Development
Treehouse - Web development,🎓 Learning & Development,Skill Development
FreeCodeCamp - Free coding bootcamp,🎓 Learning & Development,Skill Development
The Odin Project - Full-stack curriculum,🎓 Learning & Development,Skill Development
LeetCode - Coding interview prep,🎓 Learning & Development,Skill Development
HackerRank - Programming challenges,🎓 Learning & Development,Skill Development
Codewars - Coding kata,🎓 Learning & Development,Skill Development
Exercism - Programming exercises,🎓 Learning & Development,Skill Development
Project Euler - Mathematical problems,🎓 Learning & Development,Skill Development
,,
🛍️ E-commerce & Business Tools,,
E-commerce Platforms,,
Shopify - Complete e-commerce solution,🛍️ E-commerce & Business Tools,E-commerce Platforms
WooCommerce - WordPress e-commerce,🛍️ E-commerce & Business Tools,E-commerce Platforms
BigCommerce - Enterprise e-commerce,🛍️ E-commerce & Business Tools,E-commerce Platforms
Magento - Open-source e-commerce,🛍️ E-commerce & Business Tools,E-commerce Platforms
Squarespace Commerce - Design-focused stores,🛍️ E-commerce & Business Tools,E-commerce Platforms
Wix Stores - Drag-and-drop commerce,🛍️ E-commerce & Business Tools,E-commerce Platforms
PrestaShop - Free e-commerce software,🛍️ E-commerce & Business Tools,E-commerce Platforms
OpenCart - PHP-based e-commerce,🛍️ E-commerce & Business Tools,E-commerce Platforms
Zen Cart - Free shopping cart,🛍️ E-commerce & Business Tools,E-commerce Platforms
osCommerce - Open-source commerce,🛍️ E-commerce & Business Tools,E-commerce Platforms
,,
Payment Processing,,
Stripe - Developer-friendly payments,🛍️ E-commerce & Business Tools,Payment Processing
PayPal - Global payment platform,🛍️ E-commerce & Business Tools,Payment Processing
Square - In-person and online payments,🛍️ E-commerce & Business Tools,Payment Processing
Authorize.Net - Payment gateway,🛍️ E-commerce & Business Tools,Payment Processing
Braintree - PayPal's payment platform,🛍️ E-commerce & Business Tools,Payment Processing
2Checkout - Global payment processing,🛍️ E-commerce & Business Tools,Payment Processing
Worldpay - Enterprise payments,🛍️ E-commerce & Business Tools,Payment Processing
Adyen - Unified commerce platform,🛍️ E-commerce & Business Tools,Payment Processing
"Klarna - Buy now, pay later",🛍️ E-commerce & Business Tools,Payment Processing
Afterpay - Installment payments,🛍️ E-commerce & Business Tools,Payment Processing
,,
Inventory Management,,
TradeGecko - Inventory and order management,🛍️ E-commerce & Business Tools,Inventory Management
inFlow - Inventory management software,🛍️ E-commerce & Business Tools,Inventory Management
Zoho Inventory - Multi-channel inventory,🛍️ E-commerce & Business Tools,Inventory Management
Cin7 - Inventory management platform,🛍️ E-commerce & Business Tools,Inventory Management
DEAR Systems - Cloud inventory management,🛍️ E-commerce & Business Tools,Inventory Management
Fishbowl - Manufacturing inventory,🛍️ E-commerce & Business Tools,Inventory Management
NetSuite - ERP with inventory,🛍️ E-commerce & Business Tools,Inventory Management
Sage X3 - Enterprise inventory,🛍️ E-commerce & Business Tools,Inventory Management
Microsoft Dynamics - Business applications,🛍️ E-commerce & Business Tools,Inventory Management
SAP - Enterprise resource planning,🛍️ E-commerce & Business Tools,Inventory Management
,,
🎵 Media & Entertainment Tools,,
Music & Audio,,
Spotify - Music streaming service,🎵 Media & Entertainment Tools,Music & Audio
Apple Music - Apple's streaming service,🎵 Media & Entertainment Tools,Music & Audio
YouTube Music - Google's music platform,🎵 Media & Entertainment Tools,Music & Audio
Amazon Music - Amazon's streaming service,🎵 Media & Entertainment Tools,Music & Audio
Tidal - High-fidelity music streaming,🎵 Media & Entertainment Tools,Music & Audio
Deezer - Music streaming platform,🎵 Media & Entertainment Tools,Music & Audio
SoundCloud - User-generated audio,🎵 Media & Entertainment Tools,Music & Audio
Bandcamp - Independent music platform,🎵 Media & Entertainment Tools,Music & Audio
Pandora - Internet radio service,🎵 Media & Entertainment Tools,Music & Audio
iHeartRadio - Radio and podcasts,🎵 Media & Entertainment Tools,Music & Audio
,,
Audio Production,,
Pro Tools - Professional audio editing,🎵 Media & Entertainment Tools,Audio Production
Logic Pro - Mac-based music production,🎵 Media & Entertainment Tools,Audio Production
Ableton Live - Electronic music production,🎵 Media & Entertainment Tools,Audio Production
FL Studio - Windows music production,🎵 Media & Entertainment Tools,Audio Production
Reaper - Affordable DAW,🎵 Media & Entertainment Tools,Audio Production
GarageBand - Beginner music production,🎵 Media & Entertainment Tools,Audio Production
Audacity - Free audio editing,🎵 Media & Entertainment Tools,Audio Production
Adobe Audition - Audio editing suite,🎵 Media & Entertainment Tools,Audio Production
Hindenburg - Journalism audio editing,🎵 Media & Entertainment Tools,Audio Production
Descript - Text-based audio editing,🎵 Media & Entertainment Tools,Audio Production
,,
Video Streaming & Production,,
Netflix - Video streaming leader,🎵 Media & Entertainment Tools,Video Streaming & Production
YouTube - User-generated video,🎵 Media & Entertainment Tools,Video Streaming & Production
Vimeo - Professional video hosting,🎵 Media & Entertainment Tools,Video Streaming & Production
Twitch - Live streaming platform,🎵 Media & Entertainment Tools,Video Streaming & Production
OBS Studio - Free streaming software,🎵 Media & Entertainment Tools,Video Streaming & Production
Streamlabs - Streaming tools,🎵 Media & Entertainment Tools,Video Streaming & Production
XSplit - Broadcasting software,🎵 Media & Entertainment Tools,Video Streaming & Production
Wirecast - Live streaming production,🎵 Media & Entertainment Tools,Video Streaming & Production
vMix - Live production software,🎵 Media & Entertainment Tools,Video Streaming & Production
Lightstream - Cloud-based streaming,🎵 Media & Entertainment Tools,Video Streaming & Production
,,
🗄️ Database & Data Management,,
Relational Databases,,
PostgreSQL - Advanced open-source database,🗄️ Database & Data Management,Relational Databases
MySQL - Popular open-source database,🗄️ Database & Data Management,Relational Databases
SQLite - Lightweight embedded database,🗄️ Database & Data Management,Relational Databases
Microsoft SQL Server - Enterprise Windows database,🗄️ Database & Data Management,Relational Databases
Oracle Database - Enterprise-grade database,🗄️ Database & Data Management,Relational Databases
MariaDB - MySQL fork with enhancements,🗄️ Database & Data Management,Relational Databases
Amazon RDS - Managed relational database service,🗄️ Database & Data Management,Relational Databases
Google Cloud SQL - Managed database service,🗄️ Database & Data Management,Relational Databases
,,
NoSQL Databases,,
MongoDB - Document database,🗄️ Database & Data Management,NoSQL Databases
Redis - In-memory data structure store,🗄️ Database & Data Management,NoSQL Databases
Cassandra - Wide-column distributed database,🗄️ Database & Data Management,NoSQL Databases
DynamoDB - Amazon's NoSQL database,🗄️ Database & Data Management,NoSQL Databases
Firebase Firestore - Google's NoSQL database,🗄️ Database & Data Management,NoSQL Databases
CouchDB - Document database with REST API,🗄️ Database & Data Management,NoSQL Databases
Neo4j - Graph database,🗄️ Database & Data Management,NoSQL Databases
InfluxDB - Time-series database,🗄️ Database & Data Management,NoSQL Databases
,,
Data Warehousing & Analytics,,
Snowflake - Cloud data platform,🗄️ Database & Data Management,Data Warehousing & Analytics
BigQuery - Google's data warehouse,🗄️ Database & Data Management,Data Warehousing & Analytics
Redshift - Amazon's data warehouse,🗄️ Database & Data Management,Data Warehousing & Analytics
Databricks - Unified analytics platform,🗄️ Database & Data Management,Data Warehousing & Analytics
Apache Spark - Big data processing,🗄️ Database & Data Management,Data Warehousing & Analytics
Hadoop - Distributed storage and processing,🗄️ Database & Data Management,Data Warehousing & Analytics
Elasticsearch - Search and analytics engine,🗄️ Database & Data Management,Data Warehousing & Analytics
Splunk - Data platform for IT operations,🗄️ Database & Data Management,Data Warehousing & Analytics
,,
🔧 DevOps & Infrastructure Tools,,
Cloud Platforms,,
Amazon Web Services (AWS) - The cloud computing giant,🔧 DevOps & Infrastructure Tools,Cloud Platforms
Google Cloud Platform - Google's cloud services,🔧 DevOps & Infrastructure Tools,Cloud Platforms
Microsoft Azure - Microsoft's cloud platform,🔧 DevOps & Infrastructure Tools,Cloud Platforms
DigitalOcean - Simple cloud hosting,🔧 DevOps & Infrastructure Tools,Cloud Platforms
Linode - Linux cloud hosting,🔧 DevOps & Infrastructure Tools,Cloud Platforms
Vultr - High-performance cloud computing,🔧 DevOps & Infrastructure Tools,Cloud Platforms
IBM Cloud - Enterprise cloud services,🔧 DevOps & Infrastructure Tools,Cloud Platforms
Oracle Cloud - Database-focused cloud platform,🔧 DevOps & Infrastructure Tools,Cloud Platforms
,,
Container & Orchestration,,
Docker - Application containerization,🔧 DevOps & Infrastructure Tools,Container & Orchestration
Kubernetes - Container orchestration,🔧 DevOps & Infrastructure Tools,Container & Orchestration
Docker Compose - Multi-container applications,🔧 DevOps & Infrastructure Tools,Container & Orchestration
Helm - Kubernetes package manager,🔧 DevOps & Infrastructure Tools,Container & Orchestration
OpenShift - Red Hat's Kubernetes platform,🔧 DevOps & Infrastructure Tools,Container & Orchestration
Rancher - Kubernetes management platform,🔧 DevOps & Infrastructure Tools,Container & Orchestration
Podman - Daemonless container engine,🔧 DevOps & Infrastructure Tools,Container & Orchestration
LXC/LXD - Linux containers,🔧 DevOps & Infrastructure Tools,Container & Orchestration
,,
CI/CD & Automation,,
Jenkins - Open-source automation server,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
GitHub Actions - GitHub's CI/CD platform,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
GitLab CI - Integrated CI/CD,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
CircleCI - Cloud-based CI/CD,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
Travis CI - Continuous integration service,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
Azure DevOps - Microsoft's DevOps platform,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
TeamCity - JetBrains CI/CD server,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
Bamboo - Atlassian's CI/CD tool,🔧 DevOps & Infrastructure Tools,CI/CD & Automation
,,
Monitoring & Observability,,
New Relic - Application performance monitoring,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
Datadog - Infrastructure monitoring,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
Splunk - Data platform and monitoring,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
Grafana - Visualization and monitoring,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
Prometheus - Open-source monitoring,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
"Elastic Stack - Search, logging, and analytics",🔧 DevOps & Infrastructure Tools,Monitoring & Observability
Nagios - IT infrastructure monitoring,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
Zabbix - Enterprise monitoring solution,🔧 DevOps & Infrastructure Tools,Monitoring & Observability
,,
🧪 Testing & Quality Assurance,,
Software Testing Frameworks,,
Jest - JavaScript testing framework,🧪 Testing & Quality Assurance,Software Testing Frameworks
Selenium - Web application testing,🧪 Testing & Quality Assurance,Software Testing Frameworks
Cypress - End-to-end testing,🧪 Testing & Quality Assurance,Software Testing Frameworks
Playwright - Cross-browser automation,🧪 Testing & Quality Assurance,Software Testing Frameworks
TestNG - Java testing framework,🧪 Testing & Quality Assurance,Software Testing Frameworks
JUnit - Java unit testing,🧪 Testing & Quality Assurance,Software Testing Frameworks
PyTest - Python testing framework,🧪 Testing & Quality Assurance,Software Testing Frameworks
RSpec - Ruby testing framework,🧪 Testing & Quality Assurance,Software Testing Frameworks
Mocha - JavaScript test framework,🧪 Testing & Quality Assurance,Software Testing Frameworks
Jasmine - Behavior-driven testing,🧪 Testing & Quality Assurance,Software Testing Frameworks
,,
API Testing Tools,,
Postman - API development environment,🧪 Testing & Quality Assurance,API Testing Tools
Insomnia - REST client,🧪 Testing & Quality Assurance,API Testing Tools
SoapUI - API testing platform,🧪 Testing & Quality Assurance,API Testing Tools
REST Assured - Java API testing,🧪 Testing & Quality Assurance,API Testing Tools
Newman - Command-line Postman,🧪 Testing & Quality Assurance,API Testing Tools
Paw - Mac API testing tool,🧪 Testing & Quality Assurance,API Testing Tools
Thunder Client - VS Code REST client,🧪 Testing & Quality Assurance,API Testing Tools
HTTPie - Command-line HTTP client,🧪 Testing & Quality Assurance,API Testing Tools
,,
Performance Testing,🧪 Testing & Quality Assurance,Performance Testing
JMeter - Load testing tool,🧪 Testing & Quality Assurance,Performance Testing
LoadRunner - Enterprise performance testing,🧪 Testing & Quality Assurance,Performance Testing
Gatling - High-performance load testing,🧪 Testing & Quality Assurance,Performance Testing
k6 - Developer-centric load testing,🧪 Testing & Quality Assurance,Performance Testing
Artillery - Toolkit for load testing,🧪 Testing & Quality Assurance,Performance Testing
WebPageTest - Website performance testing,🧪 Testing & Quality Assurance,Performance Testing
GTmetrix - Website speed analysis,🧪 Testing & Quality Assurance,Performance Testing
Pingdom - Website monitoring,🧪 Testing & Quality Assurance,Performance Testing
,,
A/B Testing & Optimization,,
Optimizely - Digital experience platform,🧪 Testing & Quality Assurance,A/B Testing & Optimization
VWO - Website optimization,🧪 Testing & Quality Assurance,A/B Testing & Optimization
Google Optimize - Free A/B testing,🧪 Testing & Quality Assurance,A/B Testing & Optimization
Adobe Target - Personalization platform,🧪 Testing & Quality Assurance,A/B Testing & Optimization
Unbounce - Landing page optimization,🧪 Testing & Quality Assurance,A/B Testing & Optimization
Hotjar - User behavior analytics,🧪 Testing & Quality Assurance,A/B Testing & Optimization
FullStory - Digital experience analytics,🧪 Testing & Quality Assurance,A/B Testing & Optimization
Amplitude - Product analytics,🧪 Testing & Quality Assurance,A/B Testing & Optimization
,,
🔗 API & Integration Tools,,
API Management,,
Postman - API development platform,🔗 API & Integration Tools,API Management
Swagger/OpenAPI - API documentation,🔗 API & Integration Tools,API Management
Insomnia - API client,🔗 API & Integration Tools,API Management
RapidAPI - API marketplace,🔗 API & Integration Tools,API Management
Kong - API gateway platform,🔗 API & Integration Tools,API Management
AWS API Gateway - Managed API service,🔗 API & Integration Tools,API Management
Azure API Management - Microsoft API platform,🔗 API & Integration Tools,API Management
Apigee - Google's API management,🔗 API & Integration Tools,API Management
,,
Integration Platforms,,
Zapier - No-code automation,🔗 API & Integration Tools,Integration Platforms
IFTTT - Simple automation,🔗 API & Integration Tools,Integration Platforms
Microsoft Power Automate - Business automation,🔗 API & Integration Tools,Integration Platforms
MuleSoft - Enterprise integration,🔗 API & Integration Tools,Integration Platforms
Dell Boomi - Cloud integration,🔗 API & Integration Tools,Integration Platforms
Workato - Enterprise automation,🔗 API & Integration Tools,Integration Platforms
Tray.io - General automation platform,🔗 API & Integration Tools,Integration Platforms
Integromat (Make) - Visual automation,🔗 API & Integration Tools,Integration Platforms
,,
Webhook & Real-time Tools,,
ngrok - Secure tunneling,🔗 API & Integration Tools,Webhook & Real-time Tools
Pusher - Real-time communication,🔗 API & Integration Tools,Webhook & Real-time Tools
Socket.io - Real-time engine,🔗 API & Integration Tools,Webhook & Real-time Tools
Firebase - Real-time database,🔗 API & Integration Tools,Webhook & Real-time Tools
Ably - Real-time messaging,🔗 API & Integration Tools,Webhook & Real-time Tools
PubNub - Real-time communication,🔗 API & Integration Tools,Webhook & Real-time Tools
AWS AppSync - Real-time data sync,🔗 API & Integration Tools,Webhook & Real-time Tools
GraphQL - Query language for APIs,🔗 API & Integration Tools,Webhook & Real-time Tools
,,
🖥️ Hardware & Equipment Tools,,
Computer Hardware,,
Apple MacBook - Creative professional standard,🖥️ Hardware & Equipment Tools,Computer Hardware
Dell XPS - Premium Windows laptops,🖥️ Hardware & Equipment Tools,Computer Hardware
ThinkPad - Business laptop reliability,🖥️ Hardware & Equipment Tools,Computer Hardware
Surface - Microsoft's hardware line,🖥️ Hardware & Equipment Tools,Computer Hardware
"Framework Laptop - Modular, repairable laptop",🖥️ Hardware & Equipment Tools,Computer Hardware
System76 - Linux-focused computers,🖥️ Hardware & Equipment Tools,Computer Hardware
"Custom PC Builders - Micro Center, Newegg, etc.",🖥️ Hardware & Equipment Tools,Computer Hardware
"Workstations - HP Z-series, Dell Precision",🖥️ Hardware & Equipment Tools,Computer Hardware
,,
Audio Equipment,,
Blue Yeti - Popular USB microphone,🖥️ Hardware & Equipment Tools,Audio Equipment
Audio-Technica ATR2100x - Professional microphone,🖥️ Hardware & Equipment Tools,Audio Equipment
Sony WH-1000XM4 - Noise-canceling headphones,🖥️ Hardware & Equipment Tools,Audio Equipment
Shure SM7B - Broadcast microphone,🖥️ Hardware & Equipment Tools,Audio Equipment
Focusrite Scarlett - Audio interfaces,🖥️ Hardware & Equipment Tools,Audio Equipment
